Over,Cumulative Runs,Predicted Final Score,Win Probability (%),Commentary
11,92,92,0,"Ladies and gentlemen, we are witnessing an absolute cracker of a match here at the IPL! With 11 overs completed, the batting team has managed to amass 92 runs on the board. They are looking sharp and energetic out there on the field.

But hold on, the win probability is currently at 0%! The pressure is on for the batting side to keep up the momentum and push for a big total. Every run from here on out will be crucial in determining the outcome of"
12,97,97,0,"Ladies and gentlemen, buckle up your seatbelts because we are in for a rollercoaster ride here at the IPL today! The batsmen are swinging for the fences, the bowlers are sweating bullets, and the crowd is on the edge of their seats.

After 12 overs, the team has managed to rack up 97 runs on the board. What a display of power hitting and finesse! But hold on to your hats folks, because the predicted final score is also 97"
13,106,106,1,"""Welcome back to the IPL madness, folks! We're into the 13th over and we've got a total of 106 runs on the board. The team is currently on track, showing some solid batting skills out there on the pitch. But let's not get too comfortable just yet, the win probability is at a mere 1% - so the pressure is definitely on to keep up the momentum and push for more runs. This match is far from over, and anything can happen in"
14,107,107,1,"Well folks, we're into the business end of this match and things are looking grim for the batting side! With 14 overs completed, they've only managed to put up a measly 107 runs on the board. The predicted final score is also 107, so it looks like they're right on track...but for what, I'm not so sure!

The win probability is a mere 1%, so it's safe to say that the pressure is on for these batsmen to start"
15,116,116,2,"What a match we have here today folks! With 15 overs completed, the team has managed to score 116 runs. The energy on the field is electric, but the win probability stands at a mere 2%. It's safe to say they are definitely the underdogs in this match.

The team is under immense pressure to perform in these final overs if they want to have any chance of pulling off a miracle. The bowlers are on fire, the fielders are sharp, but can they"
16,117,117,2,"Ladies and gentlemen, we are witnessing a nail-biting match here at the IPL! With 16 overs completed, the team has managed to score 117 runs. The predicted final score is also 117, but with a win probability of just 2%, they sure have their work cut out for them!

The team is definitely under pressure here, folks. They need to up their game if they want to turn this around and secure a victory. The bowlers are bringing the heat, and"
17,123,123,3,"Ladies and gentlemen, we are witnessing a thrilling match here at the IPL! With 17 overs completed, the team has managed to score 123 runs. The predicted final score is 123 - can they keep up the momentum or will the pressure get to them?

At a win probability of just 3%, this team is definitely the underdog in this match. But as we all know, cricket is a game of uncertainties and anything can happen!

The players are giving it their all out there"
18,128,128,5,"Welcome back to the IPL extravaganza, folks! We're witnessing a nail-biting encounter here as the overs are ticking away and the runs are piling up. The current score stands at 128 after 18 overs, and it looks like the team is on track to reach a predicted final score of... 128. 

But wait, hold on to your seats because the win probability is at a mere 5%! The pressure is on, folks, the pressure is on! Will they"
19,147,147,27,"Ladies and gentlemen, what a nail-biter we have on our hands here at the IPL! The team has completed 19 overs and they have managed to score 147 runs. The predicted final score is also 147, talk about neck and neck!

But hold onto your hats folks, because the win probability is at a mere 27%! The pressure is on, the tension is palpable, and the players are feeling the heat. Will they be able to hold their nerve and pull off"
20,153,154,43,"Well folks, we're halfway through the game and it's been an absolute rollercoaster of a match so far! The team has managed to put up a total of 153 runs on the board after completing 20 overs. With a predicted final score of 154, they're definitely on track to set a competitive target for the opposition.

But hold on tight, because the win probability currently stands at 43%, so it's all to play for in the second half of this innings. The"
